City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,butaritari,3.07,172.79,83.91,71,98,6.6,KI,1573427856
88,morondava,-20.3,44.28,73.62,73,0,4.47,MG,1573428078
89,yellowknife,62.45,-114.38,10.4,72,75,5.82,CA,1573427916
90,chase,38.35,-98.35,59.0,41,1,16.11,US,1573428078
91,redlands,34.06,-117.19,89.6,14,5,6.93,US,1573428078
92,saskylakh,71.97,114.09,-9.12,95,100,1.99,RU,1573427940
93,vrangel,42.73,133.08,48.16,91,100,15.5,RU,1573428079
94,berkak,62.83,10.01,24.01,89,93,1.01,NO,1573428079
95,saint-pierre,48.95,4.24,44.6,100,75,6.93,FR,1573428079
96,lokot,52.57,34.57,44.51,92,100,10.09,RU,1573428079
97,lasa,34.92,32.53,68.0,48,35,9.17,CY,1573427911
98,simao,22.76,100.79,56.59,93,34,2.86,CN,1573428080
99,clyde river,70.47,-68.59,14.0,92,100,33.33,CA,1573427918
100,east london,-33.02,27.91,68.2,81,100,21.41,ZA,1573427922
101,hofn,64.25,-15.21,43.02,80,100,42.68,IS,1573427867
102,omsukchan,62.53,155.8,2.5,95,100,4.45,RU,1573427920
103,port hedland,-20.31,118.58,78.8,61,48,6.93,AU,1573428081
104,flin flon,54.77,-101.88,6.8,65,90,12.75,CA,1573427903
105,pevek,69.7,170.27,11.52,75,95,1.52,RU,1573428081
106,kenai,60.55,-151.26,41.0,60,75,11.41,US,1573428081
107,chara,39.42,22.43,53.6,93,0,6.93,GR,1573428081
108,ribeira grande,38.52,-28.7,61.92,85,39,3.06,PT,1573427917
109,naugachhia,25.4,87.1,68.81,84,0,1.12,IN,1573428082
110,vredendal,-31.68,18.49,56.98,91,24,1.92,ZA,1573428082
111,rio grande,-32.03,-52.1,69.8,88,90,14.99,BR,1573428082
112,olenegorsk,68.14,33.28,8.49,96,84,3.74,RU,1573428083
113,ugoofaaru,5.67,73.0,82.17,74,48,9.64,MV,1573428083
114,northam,-31.65,116.67,60.8,63,0,13.87,AU,1573427919
115,berdigestyakh,62.1,126.7,-3.79,87,100,8.5,RU,1573428083
116,los llanos de aridane,28.66,-17.92,68.0,72,40,14.99,ES,1573428084
117,bambous virieux,-20.34,57.76,71.01,94,40,8.05,MU,1573427924
118,dalvik,57.79,14.13,33.01,90,72,5.82,SE,1573428084
119,khatanga,71.98,102.47,-2.3,97,100,8.99,RU,1573427929
120,naberera,-4.2,36.93,66.94,85,60,4.94,TZ,1573428084
121,vezirkopru,41.14,35.45,37.4,37,8,4.45,TR,1573428085
122,okhotsk,59.36,143.24,11.62,82,96,7.9,RU,1573427927
123,billings,45.79,-108.5,15.01,85,90,11.41,US,1573427932
124,pochutla,15.74,-96.47,87.01,66,40,11.41,MX,1573428085
125,bosaso,11.28,49.18,80.31,73,0,16.51,SO,1573428085
126,isangel,-19.55,169.27,80.6,69,20,16.11,VU,1573428086
127,imperia,43.88,8.02,57.2,71,75,29.97,IT,1573428086
128,atasu,48.68,71.64,17.69,61,38,5.75,KZ,1573428086
129,bonthe,7.53,-12.5,79.09,84,0,5.75,SL,1573427967
130,avarua,-21.21,-159.78,73.4,88,0,10.29,CK,1573427916
131,marsh harbour,26.54,-77.06,75.7,65,11,16.42,BS,1573428086
132,tilaran,10.47,-84.97,84.2,66,75,5.82,CR,1573428087
133,coalinga,36.14,-120.36,82.4,14,1,3.36,US,1573428087
134,victoria,5.28,115.24,80.6,88,75,6.04,BN,1573427933
135,luderitz,-26.65,15.16,60.8,87,0,3.36,NA,1573427877
136,kyren,51.68,102.13,-4.51,98,100,1.05,RU,1573428088
137,susehri,40.16,38.09,41.68,52,0,2.51,TR,1573428088
138,cherskiy,68.75,161.3,12.04,54,75,0.49,RU,1573427938
139,seoul,37.57,126.98,53.6,100,75,10.09,KR,1573427878
140,deputatskiy,69.3,139.9,0.59,97,100,1.81,RU,1573428089
141,podkletnoye,54.66,31.74,48.13,90,100,13.67,RU,1573428089
142,linkoping,58.41,15.62,28.4,100,0,2.24,SE,1573427886
143,albany,42.65,-73.75,44.6,48,90,5.82,US,1573427679
144,samarai,-10.62,150.67,79.32,70,94,7.76,PG,1573428089
145,faanui,-16.48,-151.75,80.06,77,92,11.14,PF,1573427920
146,arraial do cabo,-22.97,-42.02,77.0,88,75,11.41,BR,1573427917
147,tasiilaq,65.61,-37.64,37.4,95,100,55.25,GL,1573427913
148,haines junction,60.75,-137.51,2.62,58,0,0.92,CA,1573427934
149,chapada dos guimaraes,-15.46,-55.75,78.8,69,20,5.82,BR,1573428090
150,magadan,59.56,150.8,21.49,68,69,13.27,RU,1573427965
151,tura,64.27,100.22,-16.32,95,100,2.57,RU,1573427921
152,touba,14.86,-15.88,77.34,39,40,12.97,SN,1573428091
153,magomeni,-6.8,39.25,77.97,86,100,9.04,TZ,1573428091
154,shingu,33.72,135.99,59.0,87,75,2.24,JP,1573428091
155,esperance,-33.86,121.89,57.2,62,75,13.87,AU,1573427869
156,fengrun,39.83,118.12,45.36,51,0,3.29,CN,1573428092
157,hamilton,43.26,-79.87,44.6,91,90,6.93,CA,1573427703
158,losevo,51.73,38.83,41.0,86,75,11.18,RU,1573428092
159,san cristobal,14.68,-86.92,67.05,93,82,3.53,HN,1573428092
160,caravelas,-17.73,-39.27,72.59,92,79,8.01,BR,1573428093
161,phan thiet,10.93,108.1,71.29,96,100,6.76,VN,1573427958
162,lorengau,-2.02,147.27,83.12,73,81,7.58,PG,1573428093
163,tiznit,29.7,-9.73,54.25,53,17,1.57,MA,1573428093
164,kaliua,-5.06,31.79,67.59,81,82,3.06,TZ,1573428094
165,capelinha,-17.69,-42.52,71.85,45,82,6.38,BR,1573428094
166,comodoro rivadavia,-45.87,-67.48,55.4,76,40,11.41,AR,1573428094
167,atuona,-9.8,-139.03,79.99,68,4,9.98,PF,1573427846
168,geraldton,49.72,-86.95,3.2,71,20,4.7,CA,1573428094
169,fort nelson,58.81,-122.69,5.0,71,5,2.24,CA,1573428095
170,te anau,-45.41,167.72,42.75,84,86,3.4,NZ,1573427982
171,cermeno,8.52,-82.44,80.6,83,40,3.36,PA,1573428095
172,salinopolis,-0.61,-47.36,82.63,77,60,18.72,BR,1573428095
173,chokurdakh,70.62,147.9,2.52,96,94,8.66,RU,1573427843
174,braganca,-1.05,-46.77,76.06,85,46,2.57,BR,1573428096
175,baghdad,33.3,44.38,55.4,58,0,4.7,IQ,1573428096
176,jacareacanga,-6.22,-57.76,75.88,90,92,1.12,BR,1573428096
177,hualmay,-11.1,-77.61,62.82,83,0,3.29,PE,1573428096
178,dilla,6.41,38.31,53.62,95,93,1.34,ET,1573428097
179,kartuzy,54.33,18.2,43.0,86,75,4.7,PL,1573428097
180,mao,19.55,-71.08,82.4,83,75,13.87,DO,1573428097
181,richards bay,-28.77,32.06,70.54,92,100,23.89,ZA,1573427940
182,vila franca do campo,37.72,-25.43,62.6,82,20,5.82,PT,1573427925
183,bowen,-20.01,148.25,82.99,51,0,3.36,AU,1573428098
184,mandera,3.94,41.86,75.0,28,20,10.16,ET,1573428098
185,sorland,67.67,12.69,19.4,62,0,4.7,NO,1573427848
186,idukki,9.85,76.97,64.49,93,68,3.98,IN,1573428098
187,colares,38.8,-9.45,61.0,93,75,8.05,PT,1573427962
188,along,28.17,94.8,61.11,97,100,1.41,IN,1573428099
189,nakusp,50.24,-117.8,39.0,97,5,4.0,CA,1573428099
190,airai,-8.93,125.41,84.38,22,10,5.95,TL,1573427993
191,zhezkazgan,47.8,67.71,18.36,58,0,1.92,KZ,1573427904
192,tashla,53.71,49.75,32.0,83,90,6.71,RU,1573428100
193,meulaboh,4.14,96.13,79.57,78,99,3.02,ID,1573427880
194,udachnyy,66.42,112.4,-23.81,74,75,4.47,RU,1573428100
195,skibbereen,51.55,-9.27,44.6,75,40,18.34,IE,1573428100
196,labuan,5.28,115.24,80.6,88,75,6.04,BN,1573427969
197,lata,30.78,78.62,25.3,20,100,2.93,IN,1573427972
