City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current status,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
74,axim,4.87,-2.24,75.07,93,100,2.15,light rain,0.19,0.0
75,chiungutwa,-10.88,38.98,89.04,50,51,0.45,broken clouds,0.0,0.0
76,kodiak,39.95,-94.76,34.0,73,90,12.75,overcast clouds,0.0,0.0
77,roma,41.89,12.48,57.99,93,75,2.24,thunderstorm with rain,0.0,0.0
78,la ronge,55.1,-105.3,-0.41,70,20,6.93,few clouds,0.0,0.0
79,neuquen,-38.95,-68.06,59.0,82,75,8.05,broken clouds,0.0,0.0
80,tasiilaq,65.61,-37.64,37.4,85,100,35.57,light rain,0.0,0.0
81,lavrentiya,65.58,-170.99,32.85,89,100,18.5,light snow,0.0,0.44
82,north salt lake,40.85,-111.91,46.99,69,40,3.36,scattered clouds,0.0,0.0
83,mandan,46.83,-100.89,8.6,71,90,4.7,overcast clouds,0.0,0.0
84,provideniya,64.42,-173.23,37.4,98,75,17.9,extreme rain,0.0,0.0
85,mahebourg,-20.41,57.7,82.4,65,20,12.75,few clouds,0.0,0.0
86,kampong cham,11.99,105.46,68.58,94,100,11.36,light rain,2.19,0.0
87,katsuura,33.93,134.5,69.8,49,20,20.8,few clouds,0.0,0.0
88,abu kamal,34.45,40.92,68.49,23,0,3.69,clear sky,0.0,0.0
89,labuhan,-2.54,115.51,85.75,72,51,2.33,moderate rain,3.12,0.0
90,batticaloa,7.71,81.69,88.54,49,0,4.14,clear sky,0.0,0.0
91,dryden,49.79,-92.84,5.0,77,90,9.17,light snow,0.0,0.0
92,manati,41.76,19.67,51.8,87,75,5.82,broken clouds,0.0,0.0
93,lagoa,37.14,-8.45,61.0,87,20,9.17,few clouds,0.0,0.0
94,khandbari,27.38,87.21,59.23,62,4,6.98,clear sky,0.0,0.0
95,margate,-43.03,147.26,73.0,26,100,25.28,overcast clouds,0.0,0.0
96,fortuna,40.6,-124.16,51.01,100,90,8.05,overcast clouds,0.0,0.0
97,saskylakh,71.97,114.09,-3.72,98,100,4.34,light snow,0.0,0.44
98,bluff,-23.58,149.07,91.04,11,15,2.84,few clouds,0.0,0.0
99,ancud,-41.87,-73.83,50.0,100,60,4.7,broken clouds,0.0,0.0
100,palana,59.08,159.95,25.34,96,97,1.32,light snow,0.0,0.38
101,comodoro rivadavia,-45.87,-67.48,48.2,87,11,3.36,few clouds,0.0,0.0
102,evensk,61.92,159.24,26.87,97,100,2.48,snow,0.0,2.44
103,cayenne,4.94,-52.33,75.2,94,40,3.96,scattered clouds,0.0,0.0
104,meadow lake,54.13,-108.44,-0.06,91,0,7.76,clear sky,0.0,0.0
105,prabumulih,-3.5,104.19,101.57,30,32,3.49,scattered clouds,0.0,0.0
106,damietta,31.42,31.81,75.2,88,0,3.36,clear sky,0.0,0.0
107,constantine,36.36,6.61,41.0,93,90,2.24,overcast clouds,0.0,0.0
108,palmer,-34.85,139.16,91.0,7,35,16.11,scattered clouds,0.0,0.0
109,sisimiut,66.94,-53.67,33.06,52,100,13.6,overcast clouds,0.0,0.0
110,cape canaveral,28.41,-80.6,71.6,88,40,8.05,scattered clouds,0.0,0.0
111,kahului,20.89,-156.47,77.0,78,20,4.7,few clouds,0.0,0.0
112,ilulissat,69.22,-51.1,42.8,33,100,8.05,overcast clouds,0.0,0.0
113,bam,29.11,58.36,63.57,13,11,19.8,few clouds,0.0,0.0
114,airai,-8.93,125.41,85.35,39,5,7.18,clear sky,0.0,0.0
115,mecca,21.43,39.83,82.29,43,52,3.62,broken clouds,0.0,0.0
116,mayumba,-3.44,10.65,77.9,90,100,15.21,heavy intensity rain,12.75,0.0
117,havoysund,71.0,24.66,26.6,79,20,14.99,few clouds,0.0,0.0
118,san patricio,-26.98,-56.83,65.89,97,17,4.97,few clouds,0.0,0.0
119,vulcan,50.4,-113.26,-2.01,85,46,8.55,scattered clouds,0.0,0.0
120,xiangxiang,27.73,112.52,79.14,23,11,1.95,few clouds,0.0,0.0
121,geraldton,49.72,-86.95,-2.21,77,20,4.7,few clouds,0.0,0.0
122,nexo,55.06,15.13,42.8,81,20,13.87,few clouds,0.0,0.0
123,trelew,-43.25,-65.31,50.16,83,86,16.31,overcast clouds,0.0,0.0
124,olinda,-37.84,145.39,86.0,10,37,17.22,scattered clouds,0.0,0.0
125,papara,-3.98,-38.73,86.0,78,40,12.75,scattered clouds,0.0,0.0
126,ponta do sol,-20.63,-46.0,68.2,86,82,3.13,broken clouds,0.0,0.0
127,hofn,64.25,-15.21,43.9,78,100,35.16,light rain,1.0,0.0
128,khomeyn,33.64,50.08,44.6,52,0,4.36,clear sky,0.0,0.0
129,bambous virieux,-20.34,57.76,82.4,65,20,12.75,few clouds,0.0,0.0
130,beringovskiy,63.05,179.32,33.58,97,100,17.27,light rain,1.81,0.0
131,roald,62.58,6.12,24.01,73,0,5.82,clear sky,0.0,0.0
132,presidencia roque saenz pena,-26.79,-60.44,66.45,85,5,5.82,clear sky,0.0,0.0
133,henties bay,-22.12,14.28,61.0,88,91,1.01,overcast clouds,0.0,0.0
134,ribeira grande,38.52,-28.7,62.02,83,72,2.71,broken clouds,0.0,0.0
135,flinders,-34.58,150.85,81.0,39,17,14.99,few clouds,0.0,0.0
136,kapaa,22.08,-159.32,75.2,94,90,4.7,overcast clouds,0.0,0.0
137,isla vista,34.41,-119.86,60.8,87,1,5.82,clear sky,0.0,0.0
138,namibe,-15.19,12.15,74.75,82,0,9.6,clear sky,0.0,0.0
139,mount isa,-20.73,139.49,98.6,6,26,10.29,scattered clouds,0.0,0.0
